village_id,week,rainfall_mm,rainfall_anomaly_pct,temp_mean_c,humidity_pct,flood_risk_score,malaria_cases,diarrhea_cases,ari_cases,anc4_completion_pct,institutional_delivery_pct,full_immunization_pct,high_risk_pregnancies,drug_stockout_flag,is_reported,reporting_status,reconstructed_malaria_cases,uncertainty_malaria_cases,reconstructed_malaria_cases_lower95,reconstructed_malaria_cases_upper95,reconstructed_diarrhea_cases,uncertainty_diarrhea_cases,reconstructed_diarrhea_cases_lower95,reconstructed_diarrhea_cases_upper95,reconstructed_ari_cases,uncertainty_ari_cases,reconstructed_ari_cases_lower95,reconstructed_ari_cases_upper95,reconstructed_anc4_completion_pct,uncertainty_anc4_completion_pct,reconstructed_anc4_completion_pct_lower95,reconstructed_anc4_completion_pct_upper95,reconstructed_full_immunization_pct,uncertainty_full_immunization_pct,reconstructed_full_immunization_pct_lower95,reconstructed_full_immunization_pct_upper95,village_name,block_name,subcentre_id,parent_phc_id,latitude,longitude,population,sc_st_pct,female_literacy_pct,tap_water_access_pct,sanitation_access_pct,distance_phc_km,distance_chc_km,all_weather_road,electricity_hours_per_day,mo_sanctioned,mo_in_position,anm_present,asha_workers_count,cold_chain_functional,rainfall_lag_1w,rainfall_lag_2w,rainfall_lag_3w,rainfall_lag_4w,rainfall_cum_4w,rainfall_surge_delta,vector_temp_suitability,vector_humidity_suitability,vector_breeding_pressure,waterborne_runoff_risk,target_malaria_lead_2w,target_diarrhea_lead_2w,spatial_lag_neighbor_malaria,spatial_lag_neighbor_diarrhea,forecasted_malaria_cases_2w,forecasted_diarrhea_cases_2w,VBVI,WBSI,climate_health_hazard_index
VIL_001,1,11.1,-36.7,16.9,37.0,0.224,2.0,5.0,10.0,47.0,43.7,52.5,4,0,True,REPORTED,2.0,0.6531500394316763,1.3468499605683235,2.6531500394316763,5.0,0.4607389726980678,4.539261027301932,5.460738972698068,10.0,0.2893775585520814,9.71062244144792,10.28937755855208,47.0,0.3521733833429457,46.647826616657056,47.352173383342944,52.5,0.3822344947398187,52.11776550526018,52.88223449473982,Rampur,Block-A,HSC_1_01,PHC_01,24.03849,82.2997,4767,8.0,61.2,37.5,55.4,4.9,19.5,1,8.1,2,1,0,5,0,11.1,11.1,11.1,11.1,44.4,0.0,0.08055900093918494,0.5285714285714286,0.4726511669389037,1.554,1.6024922647700992,2.649107109674948,0.7226373926720852,1.4093740087078641,1.9567731328863123,2.5000480496068085,0.3,24.0,11.0
VIL_001,2,5.68,-57.3,17.7,41.0,0.103,,,,,,,5,1,False,UNRECORDED,1.7863731539886722,6.531500394316763,0.0,8.317873548305435,2.126050384547476,4.607389726980678,0.0,6.733440111528154,4.518883560490622,2.8937755855208147,1.625107974969807,7.412659146011436,43.04871094664559,3.521733833429457,39.52697711321613,46.57044478007504,47.037679783471454,3.822344947398187,43.21533483607327,50.86002473086964,Rampur,Block-A,HSC_1_01,PHC_01,24.03849,82.2997,4767,8.0,61.2,37.5,55.4,4.9,19.5,1,8.1,2,1,0,5,0,11.1,11.1,11.1,11.1,38.980000000000004,-2.710000000000001,0.1181789171817805,0.5857142857142857,0.7683317887061186,0.7145625,1.0,2.0,1.3214505005266286,0.8933882541079275,2.0939117266385767,2.215606028416693,0.8,19.3,9.1
VIL_001,3,6.95,-55.9,17.4,35.6,0.041,0.0,0.0,5.0,43.8,39.4,48.9,2,1,True,STRUCTURAL_ZERO_INFLATED,1.6024922647700992,6.531500394316763,0.0,8.133992659086863,2.649107109674948,4.607389726980678,0.0,7.256496836655626,5.857009307162065,2.8937755855208147,2.9632337216412505,8.75078489268288,43.8,0.3521733833429457,43.44782661665705,44.15217338334294,48.9,0.3822344947398187,48.51776550526018,49.28223449473982,Rampur,Block-A,HSC_1_01,PHC_01,24.03849,82.2997,4767,8.0,61.2,37.5,55.4,4.9,19.5,1,8.1,2,1,0,5,0,5.68,11.1,11.1,11.1,34.83,-0.96,0.10273981490249426,0.5085714285714286,0.5799809322409947,0.14555,1.4647122533747656,2.1252227942442907,1.2101598335140649,1.74017648318608,1.882801505220316,2.1213936307838566,0.3,17.1,7.9
VIL_001,4,8.57,-35.7,16.5,50.2,0.105,1.0,2.0,10.0,47.1,38.4,52.9,1,1,True,REPORTED,1.0,0.6531500394316763,0.3468499605683237,1.6531500394316765,2.0,0.4607389726980678,1.5392610273019325,2.460738972698068,10.0,0.2893775585520814,9.71062244144792,10.28937755855208,47.1,0.3521733833429457,46.74782661665706,47.45217338334295,52.9,0.3822344947398187,52.51776550526018,53.28223449473982,Rampur,Block-A,HSC_1_01,PHC_01,24.03849,82.2997,4767,8.0,61.2,37.5,55.4,4.9,19.5,1,8.1,2,1,0,5,0,6.95,5.68,11.1,11.1,32.3,0.495000000000001,0.06572852861653045,0.7171428571428572,0.4210254046237581,0.45609375,1.8814498284908556,1.8378873167534029,0.9513571095492059,1.9175781882417504,1.8573068449488628,1.924434909244477,0.2,18.8,8.6
VIL_001,5,5.73,-57.1,17.4,47.2,0.033,0.0,0.0,4.0,42.3,37.3,52.4,5,0,True,STRUCTURAL_ZERO_INFLATED,1.4647122533747656,6.531500394316763,0.0,7.996212647691529,2.1252227942442907,4.607389726980678,0.0,6.732612521224969,4.987055797766384,2.8937755855208147,2.0932802122455696,7.880831383287199,42.3,0.3521733833429457,41.94782661665705,42.65217338334294,52.4,0.3822344947398187,52.01776550526018,52.78223449473982,Rampur,Block-A,HSC_1_01,PHC_01,24.03849,82.2997,4767,8.0,61.2,37.5,55.4,4.9,19.5,1,8.1,2,1,0,5,0,8.57,6.95,5.68,11.1,26.93,-1.0024999999999995,0.10273981490249426,0.6742857142857144,0.6539653406639224,0.17675625,3.0,3.0,1.0684965075865618,1.445369985017324,2.0257267923933617,2.215606028416693,0.5,17.2,8.0
VIL_001,6,11.96,-21.0,17.6,44.8,0.09,,,,,,,5,0,False,UNRECORDED,1.8814498284908556,6.531500394316763,0.0,8.412950222807618,1.8378873167534029,4.607389726980678,0.0,6.44527704373408,5.243448188798933,2.8937755855208147,2.349672603278118,8.137223774319747,44.05809856423051,3.521733833429457,40.536364730801054,47.57983239765997,47.42056326000794,3.822344947398187,43.59821831260975,51.24290820740613,Rampur,Block-A,HSC_1_01,PHC_01,24.03849,82.2997,4767,8.0,61.2,37.5,55.4,4.9,19.5,1,8.1,2,1,0,5,0,5.73,8.57,6.95,5.68,33.21,3.6575000000000006,0.11284631896716392,0.64,0.4937071593341008,0.3223125,5.0,2.0,1.0627245608341773,1.1299726926559959,2.2891073301903746,2.0156157989490233,1.1,18.3,8.8
VIL_001,7,12.75,-23.5,18.1,41.2,0.216,3.0,3.0,6.0,40.9,42.8,51.8,2,1,True,REPORTED,3.0,0.6531500394316763,2.346849960568324,3.653150039431676,3.0,0.4607389726980678,2.539261027301932,3.460738972698068,6.0,0.2893775585520814,5.710622441447919,6.289377558552081,40.9,0.3521733833429457,40.547826616657055,41.25217338334294,51.8,0.3822344947398187,51.41776550526018,52.18223449473982,Rampur,Block-A,HSC_1_01,PHC_01,24.03849,82.2997,4767,8.0,61.2,37.5,55.4,4.9,19.5,1,8.1,2,1,0,5,0,11.96,5.73,8.57,6.95,39.010000000000005,2.9974999999999987,0.14145092113936875,0.5885714285714286,0.5379871588426737,1.6146000000000003,2.3418606237249664,2.702433048719944,0.9734200375709898,1.2504248076359694,2.2480749612262607,2.387554918884232,1.0,23.3,11.0
VIL_001,8,6.16,-74.1,20.5,51.0,0.178,5.0,2.0,4.0,49.1,41.8,43.5,4,0,True,REPORTED,5.0,0.6531500394316763,4.346849960568324,5.653150039431676,2.0,0.4607389726980678,1.5392610273019325,2.460738972698068,4.0,0.2893775585520814,3.7106224414479194,4.289377558552081,49.1,0.3521733833429457,48.74782661665706,49.45217338334295,43.5,0.3822344947398187,43.11776550526018,43.88223449473982,Rampur,Block-A,HSC_1_01,PHC_01,24.03849,82.2997,4767,8.0,61.2,37.5,55.4,4.9,19.5,1,8.1,2,1,0,5,0,12.75,11.96,5.73,8.57,36.6,-2.99,0.35232195499549696,0.7285714285714285,2.547921914136435,1.4184375,2.050682658573604,2.954103672743976,1.0879927133714846,1.0413119946635159,2.830714471697023,1.9665639882894947,3.5,21.0,11.4
VIL_001,9,6.03,-64.3,20.8,45.8,0.01,,,,,,,4,0,False,UNRECORDED,2.3418606237249664,6.531500394316763,0.0,8.873361018041729,2.702433048719944,4.607389726980678,0.0,7.309822775700621,4.037252236508968,2.8937755855208147,1.1434766509881529,6.931027822029782,44.12294176263397,3.521733833429457,40.60120792920451,47.64467559606343,48.51236506766837,3.822344947398187,44.69002012027018,52.33471001506656,Rampur,Block-A,HSC_1_01,PHC_01,24.03849,82.2997,4767,8.0,61.2,37.5,55.4,4.9,19.5,1,8.1,2,1,0,5,0,6.16,12.75,11.96,5.73,36.900000000000006,-3.1949999999999994,0.38707538854998985,0.6542857142857142,2.1623159252677637,0.0385,2.188860764093585,1.7555716519079525,1.087372579135083,1.8236634936563303,2.5641599990875834,2.1816890335262715,2.7,16.4,8.9
VIL_001,10,6.14,-50.5,20.5,51.9,0.11,,,,,,,3,0,False,UNRECORDED,2.050682658573604,6.531500394316763,0.0,8.582183052890366,2.954103672743976,4.607389726980678,0.0,7.561493399724654,3.9878459052172825,2.8937755855208147,1.0940703196964678,6.881621490738097,44.22620460483101,3.521733833429457,40.70447077140155,47.74793843826047,47.93384295463472,3.822344947398187,44.11149800723653,51.756187902032906,Rampur,Block-A,HSC_1_01,PHC_01,24.03849,82.2997,4767,8.0,61.2,37.5,55.4,4.9,19.5,1,8.1,2,1,0,5,0,6.03,6.16,12.75,11.96,31.08,-1.63,0.35232195499549696,0.7414285714285714,2.518175874793244,0.4145625,2.7475442826907224,1.8074942178526088,1.3700891145687373,1.9881291921857445,2.422020220400296,2.155535382652011,2.5,19.3,10.1
