village_id,week,rainfall_mm,rainfall_anomaly_pct,temp_mean_c,humidity_pct,flood_risk_score,malaria_cases,diarrhea_cases,ari_cases,anc4_completion_pct,institutional_delivery_pct,full_immunization_pct,high_risk_pregnancies,drug_stockout_flag,is_reported,reporting_status,reconstructed_malaria_cases,uncertainty_malaria_cases,reconstructed_malaria_cases_lower95,reconstructed_malaria_cases_upper95,reconstructed_diarrhea_cases,uncertainty_diarrhea_cases,reconstructed_diarrhea_cases_lower95,reconstructed_diarrhea_cases_upper95,reconstructed_ari_cases,uncertainty_ari_cases,reconstructed_ari_cases_lower95,reconstructed_ari_cases_upper95,reconstructed_anc4_completion_pct,uncertainty_anc4_completion_pct,reconstructed_anc4_completion_pct_lower95,reconstructed_anc4_completion_pct_upper95,reconstructed_full_immunization_pct,uncertainty_full_immunization_pct,reconstructed_full_immunization_pct_lower95,reconstructed_full_immunization_pct_upper95
VIL_001,1,11.1,-36.7,16.9,37.0,0.224,2.0,5.0,10.0,47.0,43.7,52.5,4,0,True,REPORTED,2.0,0.6531500394316763,1.3468499605683237,2.6531500394316763,5.0,0.4607389726980678,4.539261027301932,5.460738972698068,10.0,0.28937755855208147,9.710622441447919,10.289377558552081,47.0,0.35217338334294573,46.647826616657056,47.352173383342944,52.5,0.38223449473981874,52.11776550526018,52.88223449473982
VIL_001,2,5.68,-57.3,17.7,41.0,0.103,,,,,,,5,1,False,UNRECORDED,1.7863731539886722,6.531500394316763,0.0,8.317873548305435,2.126050384547476,4.607389726980678,0.0,6.733440111528154,4.518883560490622,2.8937755855208147,1.625107974969807,7.412659146011436,43.048710946645585,3.5217338334294572,39.52697711321613,46.57044478007504,47.037679783471454,3.822344947398187,43.21533483607327,50.86002473086964
VIL_001,3,6.95,-55.9,17.4,35.6,0.041,0.0,0.0,5.0,43.8,39.4,48.9,2,1,True,STRUCTURAL_ZERO_INFLATED,1.6024922647700992,6.531500394316763,0.0,8.133992659086863,2.649107109674948,4.607389726980678,0.0,7.256496836655626,5.857009307162065,2.8937755855208147,2.9632337216412505,8.75078489268288,43.8,0.35217338334294573,43.44782661665705,44.15217338334294,48.9,0.38223449473981874,48.51776550526018,49.28223449473982
VIL_001,4,8.57,-35.7,16.5,50.2,0.105,1.0,2.0,10.0,47.1,38.4,52.9,1,1,True,REPORTED,1.0,0.6531500394316763,0.34684996056832373,1.6531500394316763,2.0,0.4607389726980678,1.5392610273019323,2.460738972698068,10.0,0.28937755855208147,9.710622441447919,10.289377558552081,47.1,0.35217338334294573,46.74782661665706,47.452173383342945,52.9,0.38223449473981874,52.51776550526018,53.28223449473982
VIL_001,5,5.73,-57.1,17.4,47.2,0.033,0.0,0.0,4.0,42.3,37.3,52.4,5,0,True,STRUCTURAL_ZERO_INFLATED,1.4647122533747656,6.531500394316763,0.0,7.996212647691529,2.1252227942442907,4.607389726980678,0.0,6.732612521224969,4.987055797766384,2.8937755855208147,2.0932802122455696,7.880831383287199,42.3,0.35217338334294573,41.94782661665705,42.65217338334294,52.4,0.38223449473981874,52.01776550526018,52.78223449473982
VIL_001,6,11.96,-21.0,17.6,44.8,0.09,,,,,,,5,0,False,UNRECORDED,1.8814498284908554,6.531500394316763,0.0,8.412950222807618,1.8378873167534029,4.607389726980678,0.0,6.44527704373408,5.243448188798933,2.8937755855208147,2.349672603278118,8.137223774319747,44.05809856423051,3.5217338334294572,40.536364730801054,47.57983239765997,47.42056326000794,3.822344947398187,43.59821831260975,51.242908207406124
VIL_001,7,12.75,-23.5,18.1,41.2,0.216,3.0,3.0,6.0,40.9,42.8,51.8,2,1,True,REPORTED,3.0,0.6531500394316763,2.3468499605683237,3.6531500394316763,3.0,0.4607389726980678,2.539261027301932,3.460738972698068,6.0,0.28937755855208147,5.710622441447919,6.289377558552081,40.9,0.35217338334294573,40.547826616657055,41.25217338334294,51.8,0.38223449473981874,51.41776550526018,52.18223449473982
VIL_001,8,6.16,-74.1,20.5,51.0,0.178,5.0,2.0,4.0,49.1,41.8,43.5,4,0,True,REPORTED,5.0,0.6531500394316763,4.346849960568324,5.653150039431676,2.0,0.4607389726980678,1.5392610273019323,2.460738972698068,4.0,0.28937755855208147,3.7106224414479185,4.289377558552081,49.1,0.35217338334294573,48.74782661665706,49.452173383342945,43.5,0.38223449473981874,43.11776550526018,43.88223449473982
VIL_001,9,6.03,-64.3,20.8,45.8,0.01,,,,,,,4,0,False,UNRECORDED,2.3418606237249664,6.531500394316763,0.0,8.873361018041729,2.7024330487199437,4.607389726980678,0.0,7.3098227757006216,4.037252236508968,2.8937755855208147,1.1434766509881529,6.931027822029782,44.12294176263397,3.5217338334294572,40.60120792920451,47.64467559606343,48.51236506766837,3.822344947398187,44.690020120270184,52.334710015066555
VIL_001,10,6.14,-50.5,20.5,51.9,0.11,,,,,,,3,0,False,UNRECORDED,2.0506826585736038,6.531500394316763,0.0,8.582183052890366,2.9541036727439756,4.607389726980678,0.0,7.561493399724654,3.9878459052172825,2.8937755855208147,1.0940703196964678,6.881621490738097,44.22620460483101,3.5217338334294572,40.70447077140155,47.74793843826047,47.93384295463472,3.822344947398187,44.111498007236534,51.756187902032906
VIL_001,11,5.35,-62.2,23.4,40.6,0.039,0.0,0.0,2.0,45.7,42.3,50.1,5,1,True,STRUCTURAL_ZERO_INFLATED,2.188860764093585,6.531500394316763,0.0,8.720361158410348,1.7555716519079525,4.607389726980678,0.0,6.36296137888863,2.2879815012741895,2.8937755855208147,0.0,5.181757086795004,45.7,0.35217338334294573,45.34782661665706,46.05217338334295,50.1,0.38223449473981874,49.71776550526018,50.48223449473982
VIL_001,12,4.78,-80.6,23.8,44.7,0.039,0.0,0.0,2.0,39.8,32.7,45.5,1,1,True,STRUCTURAL_ZERO_INFLATED,2.7475442826907224,6.531500394316763,0.0,9.279044677007485,1.8074942178526088,4.607389726980678,0.0,6.414883944833287,2.655124286225836,2.8937755855208147,0.0,5.5488998717466504,39.8,0.35217338334294573,39.44782661665705,40.15217338334294,45.5,0.38223449473981874,45.11776550526018,45.88223449473982
VIL_001,13,7.2,-50.3,25.6,48.5,0.066,5.0,5.0,6.0,44.8,41.9,47.2,1,0,True,REPORTED,5.0,0.6531500394316763,4.346849960568324,5.653150039431676,5.0,0.4607389726980678,4.539261027301932,5.460738972698068,6.0,0.28937755855208147,5.710622441447919,6.289377558552081,44.8,0.35217338334294573,44.44782661665705,45.15217338334294,47.2,0.38223449473981874,46.81776550526018,47.58223449473982
