village_id,week,rainfall_mm,rainfall_anomaly_pct,temp_mean_c,humidity_pct,flood_risk_score,malaria_cases,diarrhea_cases,ari_cases,anc4_completion_pct,institutional_delivery_pct,full_immunization_pct,high_risk_pregnancies,drug_stockout_flag
VIL_001,1,11.1,-36.7,16.9,37.0,0.224,2,5,10,47.0,43.7,52.5,4,0
VIL_001,2,5.68,-57.3,17.7,41.0,0.103,1,5,5,47.4,37.7,45.5,5,1
VIL_001,3,6.95,-55.9,17.4,35.6,0.041,1,4,5,43.8,39.4,48.9,2,1
VIL_001,4,8.57,-35.7,16.5,50.2,0.105,1,2,10,47.1,38.4,52.9,1,1
VIL_001,5,5.73,-57.1,17.4,47.2,0.033,0,1,4,42.3,37.3,52.4,5,0
VIL_001,6,11.96,-21.0,17.6,44.8,0.09,0,1,9,45.3,46.0,44.4,5,0
VIL_001,7,12.75,-23.5,18.1,41.2,0.216,3,3,6,40.9,42.8,51.8,2,1
VIL_001,8,6.16,-74.1,20.5,51.0,0.178,5,2,4,49.1,41.8,43.5,4,0
VIL_001,9,6.03,-64.3,20.8,45.8,0.01,1,2,5,46.4,39.9,56.6,4,0
VIL_001,10,6.14,-50.5,20.5,51.9,0.11,2,3,11,52.9,48.2,51.3,3,0
VIL_001,11,5.35,-62.2,23.4,40.6,0.039,8,2,2,45.7,42.3,50.1,5,1
VIL_001,12,4.78,-80.6,23.8,44.7,0.039,8,6,2,39.8,32.7,45.5,1,1
VIL_001,13,7.2,-50.3,25.6,48.5,0.066,5,5,6,44.8,41.9,47.2,1,0
VIL_001,14,5.15,-61.8,26.6,47.8,0.025,5,2,3,44.4,41.7,48.1,6,1
VIL_001,15,4.19,-80.9,26.0,45.2,0.058,4,2,6,40.8,37.5,51.4,9,0
VIL_001,16,6.1,-57.8,27.5,50.2,0.04,4,3,5,47.6,43.5,55.5,4,0
VIL_001,17,10.45,-29.8,30.3,45.3,0.153,3,1,3,47.9,42.7,47.4,5,0
VIL_001,18,8.81,-52.7,31.3,47.7,0.115,3,4,5,39.4,36.2,49.4,3,0
VIL_001,19,8.75,-38.1,31.6,48.1,0.105,8,2,4,47.9,39.0,46.5,1,0
VIL_001,20,11.24,-19.4,32.8,50.2,0.105,3,1,6,45.5,40.8,45.7,2,0
VIL_001,21,28.62,101.6,35.2,58.8,0.353,2,3,1,43.1,44.2,48.4,2,1
VIL_001,22,21.64,54.8,33.8,47.0,0.326,1,3,5,48.8,46.8,50.0,5,1
VIL_001,23,31.15,93.9,35.9,49.1,0.44,2,8,5,50.4,48.1,49.1,4,0
VIL_001,24,31.88,103.2,35.6,59.6,0.376,6,9,4,49.6,43.6,51.7,4,0
VIL_001,25,43.13,192.7,36.1,60.3,0.58,5,4,5,49.5,48.2,54.4,4,1
VIL_001,26,60.1,305.8,38.0,63.3,0.839,2,6,2,46.3,43.0,50.1,5,1
VIL_001,27,56.12,279.3,37.9,69.3,0.665,4,12,5,43.9,42.5,50.7,6,0
VIL_001,28,82.28,487.1,38.0,75.4,1.0,2,11,4,45.7,40.2,43.3,2,0
VIL_001,29,77.95,425.4,38.5,76.3,1.0,4,12,7,49.2,44.6,50.7,2,1
VIL_001,30,85.99,484.6,36.7,74.7,1.0,5,14,2,46.4,38.8,51.8,3,0
VIL_001,31,82.07,456.6,37.2,79.6,1.0,4,15,3,50.6,44.7,48.3,4,0
VIL_001,32,116.46,682.9,35.5,94.6,1.0,8,15,4,49.2,49.2,46.3,4,1
VIL_001,33,84.07,457.3,35.6,69.4,1.0,5,13,2,44.4,43.0,52.4,4,0
VIL_001,34,64.35,336.6,34.3,63.6,0.86,19,21,3,46.9,41.3,55.9,5,1
VIL_001,35,75.04,392.5,33.7,66.9,1.0,17,8,3,46.9,39.6,52.4,7,0
VIL_001,36,47.99,217.5,33.4,55.6,0.595,25,9,6,41.0,38.5,55.1,2,1
VIL_001,37,50.09,229.1,30.7,46.8,0.7,17,8,4,44.2,38.1,49.3,2,0
VIL_001,38,26.09,74.7,33.1,41.1,0.265,14,4,4,45.1,42.9,51.7,1,0
VIL_001,39,24.36,85.6,28.2,41.5,0.322,30,2,5,39.7,32.2,57.8,4,0
VIL_001,40,22.98,34.5,26.7,29.5,0.246,11,3,7,46.4,42.0,44.8,3,1
VIL_001,41,20.4,42.9,28.4,30.5,0.239,6,4,3,47.6,40.5,46.7,0,1
VIL_001,42,13.26,-27.7,26.7,23.8,0.179,9,8,3,49.6,38.8,45.4,4,1
VIL_001,43,11.95,-25.1,25.4,30.5,0.116,16,1,6,47.4,44.4,60.0,5,1
