village_id,village_name,block_name,subcentre_id,parent_phc_id,latitude,longitude,population,sc_st_pct,female_literacy_pct,tap_water_access_pct,sanitation_access_pct,distance_phc_km,distance_chc_km,all_weather_road,electricity_hours_per_day,mo_sanctioned,mo_in_position,anm_present,asha_workers_count,cold_chain_functional
VIL_001,Rampur,Block-A,HSC_1_01,PHC_01,24.03849,82.2997,4767,8.0,61.2,37.5,55.4,4.9,19.5,1,8.1,2,1,0,5,0
VIL_002,Pipariya,Block-A,HSC_1_01,PHC_01,24.11675,82.25699,2691,58.8,46.8,36.7,48.4,8.1,41.6,1,21.4,1,1,1,3,0
VIL_003,Bhelwa,Block-A,HSC_1_01,PHC_01,24.09017,82.22916,2150,42.3,56.1,39.9,53.2,8.8,31.8,1,8.1,2,1,1,2,0
VIL_004,Madanpur,Block-A,HSC_1_01,PHC_01,24.02848,82.23278,2677,33.9,61.6,25.7,65.6,10.2,22.0,0,19.2,2,1,0,3,0
VIL_005,Kalyanpur,Block-A,HSC_1_01,PHC_01,24.02142,82.27352,3381,43.7,57.6,23.3,56.8,6.5,33.2,1,17.9,1,0,1,3,1
VIL_006,Devgaon,Block-A,HSC_1_02,PHC_01,24.08909,82.26205,1213,31.1,75.5,52.5,62.8,5.4,16.2,1,9.9,1,1,0,1,0
VIL_007,Chandpur,Block-A,HSC_1_02,PHC_01,24.12219,82.31095,3710,35.6,57.8,66.7,60.8,12.6,38.2,1,12.8,1,1,1,4,0
VIL_008,Sultanpur,Block-A,HSC_1_02,PHC_01,24.0842,82.17179,2648,36.8,48.2,31.7,24.5,14.1,27.0,1,19.1,1,1,1,3,1
VIL_009,Fatehpur,Block-A,HSC_1_02,PHC_01,24.02694,82.29629,1504,38.7,50.9,31.7,51.3,8.9,25.6,0,15.4,1,1,1,2,1
VIL_010,Haridaspur,Block-A,HSC_1_02,PHC_01,24.05697,82.24592,1258,51.4,54.3,20.5,70.6,7.1,32.9,1,15.7,1,1,1,1,0
VIL_011,Shivpur,Block-B,HSC_2_01,PHC_02,24.31655,82.21824,3569,26.6,43.4,35.6,66.9,8.2,28.1,1,18.2,1,1,1,4,1
VIL_012,Birbalpur,Block-B,HSC_2_01,PHC_02,24.36642,82.17144,3841,48.7,64.2,74.2,67.1,9.2,37.4,0,13.3,2,1,1,4,1
VIL_013,Gopalpur,Block-B,HSC_2_01,PHC_02,24.35138,82.22841,4637,50.8,45.2,24.7,75.7,2.4,12.8,1,16.5,1,1,1,5,0
VIL_014,Jamunaha,Block-B,HSC_2_01,PHC_02,24.4678,82.26546,1609,31.6,49.5,51.1,95.0,16.9,35.7,1,13.9,2,1,0,2,1
VIL_015,Mohanpur,Block-B,HSC_2_01,PHC_02,24.36964,82.21509,951,25.7,63.3,60.8,52.5,7.1,40.9,1,10.3,1,0,1,1,1
VIL_016,Bishunpur,Block-B,HSC_2_02,PHC_02,24.32484,82.23828,2059,20.7,64.6,33.9,64.7,7.5,21.0,1,11.1,1,1,1,2,1
VIL_017,Belwa,Block-B,HSC_2_02,PHC_02,24.31604,82.23686,4497,45.4,61.8,36.3,70.1,4.4,30.1,1,10.9,1,1,1,4,1
